"","france","sample"
"Below 20 years old",23.3,4.1
"20 to 30 years old",11.3,25.6
"30 to 40 years old",12.1,22.7
"40 to 50 years old",12.4,18.5
"50 to 60 years old",13.1,16.5
"60 to 70 years old",11.9,10.6
"Above 70 years old",15.8,2.1
