"argument","Freq","Prop"
"SERVICES_RESOURCES_INTERCONNECTED",149,0.17
"INTERCONNECTED",81,0.09
"SERVICES_RESOURCES",71,0.08
"INTERCONNECTED_ECOSYSTEM_PROTECTION",50,0.06
"THREATENED",39,0.04
"SERVICES_RESOURCES_INTERCONNECTED_ECOSYSTEM_PROTECTION",38,0.04
"ECOSYSTEM_PROTECTION",30,0.03
"SERVICES_RESOURCES_INTERCONNECTED_SPECIES_PROTECTION",30,0.03
"HUMAN_RESPONSIBILITY",27,0.03
"SERVICES_RESOURCES_HUMAN_PROTECTION",24,0.03
"INTERCONNECTED_LIFE_PROTECTION",21,0.02
"LIFE_PROTECTION",17,0.02
