"","biodiversity","insects"
"THREATENED",308,106
"INTERCONNECTED",303,535
"HUMAN_RESPONSIBILITY",247,72
"HUMAN_PROTECTION",214,93
"LIFE_PROTECTION",169,70
"BEAUTY",98,38
"SPECIES_PROTECTION",89,87
"RIGHT_TO_EXIST",88,54
"ECOSYSTEM_PROTECTION",88,174
"SERVICES_RESOURCES",50,456
"RESILIENCE",25,0
"FUTURE_GENERATIONS",21,0
"SPECIES_NOT_TO_PROTECT",16,10
"SADNESS",12,1
"UNPLEASANT",0,16
"BEES",0,10
"INDICATOR",0,5
"BIG_PART_BIODIVERSITY",0,7
