"argument","Freq","Prop"
"THREATENED_HUMAN_RESPONSIBILITY",110,0.13
"THREATENED",83,0.1
"INTERCONNECTED_LIFE_PROTECTION",54,0.06
"HUMAN_PROTECTION",50,0.06
"LIFE_PROTECTION",49,0.06
"INTERCONNECTED_HUMAN_PROTECTION",44,0.05
"HUMAN_RESPONSIBILITY",35,0.04
"INTERCONNECTED_ECOSYSTEM_PROTECTION",31,0.04
"INTERCONNECTED",26,0.03
"INTERCONNECTED_SPECIES_PROTECTION",16,0.02
